experiment,program,pulse_index,channel,t0_ns,duration_ns,phase_rad,amp,drag
exp3_state_prep,|e>,0,q,0.0,16.0,0.0,0.08569149130163327,-0.2
exp3_state_prep,|+x>,0,q,0.0,16.0,1.3540068773905996,0.042845745650816634,-0.2
exp3_state_prep,|-x>,0,q,0.0,16.0,4.4955995309803924,0.042845745650816634,-0.2
exp3_state_prep,|+y>,0,q,0.0,16.0,3.141592653589793,0.042845745650816634,-0.2
exp3_state_prep,|-y>,0,q,0.0,16.0,0.0,0.042845745650816634,-0.2
exp4_arb_rotation,|g>,0,q,0.0,16.0,0.9550672600376962,0.06169787373717595,0.0
exp4_arb_rotation,|+x>,0,q,0.0,16.0,1.3634743050043692,0.042845745650816634,0.0
exp4_arb_rotation,|+x>,1,q,16.0,16.0,0.9550672600376962,0.06169787373717595,0.0
exp4_arb_rotation,|+y>,0,q,0.0,16.0,3.141592653589793,0.042845745650816634,0.0
exp4_arb_rotation,|+y>,1,q,16.0,16.0,0.9550672600376962,0.06169787373717595,0.0
