time_midpoint_s,command_qubit_I,physical_qubit_I,command_qubit_Q,physical_qubit_Q
2e-09,31700337.142326977,0.0,18293763.265450336,0.0
6.000000000000001e-09,32182449.664264306,12177196.8421234,22928253.44567652,7027267.731141948
1e-08,31616087.001535516,19509823.30299568,28076181.461768314,12932204.866922403
1.4000000000000001e-08,30246580.98519318,23596163.752887122,33309371.380212016,18375617.0324246
1.8000000000000002e-08,28393027.807318702,25468574.889136624,38233971.18125755,23580888.229907393
2.2e-08,26395458.17185586,25855576.45964257,42534931.71663597,28527841.957524143
2.6e-08,24560847.78849121,25315392.1700653,46007265.71118374,33083614.292987138
3.0000000000000004e-08,23116273.047804005,24293592.551593397,48569969.8485138,37091477.77970969
3.4e-08,22176347.730881393,23138934.032190755,50261154.696421735,40428324.741732694
3.800000000000001e-08,21729821.090073213,22100147.024493467,51215784.963608675,43036536.46762236
4.2000000000000006e-08,21647222.098048568,21318902.546389118,51630051.3941373,44934138.15457149
4.6000000000000015e-08,21708158.156205162,20828620.385396805,51718377.90825227,46207073.38475963
5.000000000000001e-08,21643820.682100177,20564255.927213874,51670113.63354125,46988154.56814303
5.400000000000002e-08,21187882.433979947,20384372.422070216,51612912.8786766,47428071.77222369
5.8000000000000016e-08,20127654.634180933,20103647.770398587,51588677.61038463,47664309.27622594
6.200000000000003e-08,18347307.900058903,19531605.66849308,51545902.64471842,47793659.75223209
6.600000000000001e-08,15856160.374246852,18511951.58862116,51349637.94900791,47853150.93111283
7.000000000000002e-08,12797317.00957337,16956527.56228843,50807469.87146391,47812677.335496865
7.4e-08,9434958.236845924,14868560.657450307,49707356.977387205,47580655.750175275
7.800000000000001e-08,6121864.449611625,12351425.856580202,47861232.04150017,47021878.76633239
8.199999999999999e-08,3251822.8280106857,9601314.476118613,45147297.14377914,45984742.990086325
8.6e-08,1203927.1568259895,6884648.693964522,41544047.74068916,44333477.70505005
8.999999999999999e-08,287087.1470737364,4503428.592621179,37150250.91227003,41980131.37464898
9.4e-08,693109.7885667961,2753576.6455240226,32187194.338284314,38911020.52072439
9.799999999999998e-08,2465491.4428221025,1882464.852288072,26982199.35016825,35203117.85599333
1.0199999999999999e-07,5488748.926366413,2051997.167295536,21935246.980299126,31027338.124129865
1.0599999999999997e-07,9500069.35384729,3312842.356156282,17473165.427755415,26637646.64050017
1.0999999999999998e-07,14121733.099267334,5593785.026626509,13997773.931083765,22347068.347827367
1.1399999999999996e-07,18909665.37284772,8707929.976406537,11835373.302470282,18493686.549285445
1.1799999999999997e-07,23411068.927615497,12374994.188993288,11194862.925046472,15401283.36174522
1.2199999999999995e-07,27222747.12053141,16256529.883426443,12140561.027209794,13340148.838915534
1.26e-07,30041645.95384761,19999002.661386736,14583688.429531671,12493637.133294232
